text,emotion
cepetan reboot dong hehe biar para dakjal tudung merah sengsara,sedih
"ASLI DEH YA HERAN GUA, SUJU DAN HEECHUL KAN GA LIAT EKSPRESI MOMO GIMANA PAS KEJADIAN ITU YAKALI MEREKA MANDANGIN MOMO TERUS. BANGSAT LO",terkejut
"Tidak apa-apa sendiri, syarat untuk bahagia tak selalu harus berdua",senang
sedih bgt murka liat nya,sedih
WKWKWKW bener bgt lo liat aja reply muak bgt 'iya gpp' 'santai aja' 'semua org pernah kok' 'untung ganteng' pala lo peyang. giliran yg jelek mo pembelaan segimana dimaki habis2an wkwkw double standard much ya wkwk liatin aja dl,jijik
"'kan masih 1/3 cik, santai aelah' bukan masalah begitu bambank. Gini deh, di angkatanku, aku yang maju sempro paling awal. Aku ngasitaunya ke anak terdekat termasuk si komting, dan si komting nyebarin di grup wkwk tapi aku senang, krn pada doain sama semangatin",senang
Buka timeline pagi-pagi. Baca berita jadi miris campur sedih dan gregetan. Ini debat kapan berakhirnya sementara masyarakat butuh langkah kongkrit segera,sedih
Aku kesal dengan jarak,marah
"Hahaha iya menurutku P'Tay pintar kok, cb nonton TayNew Meal Date dan dengerin dia ngoceh berbagai hal ttg makanan (mungkin scripted tp aku ttp terpesona haha). Dia jg jago dlm vocab bhs Thailand.",senang
"hii kak, kmrn saya ada nanya2 ttg pascabayar tri. Kok blm ada jawabannya yak? Apakah emg ga ada layanan pascabayar di 3 ato gimana nih kak Kita kan jadi kecewa",sedih
"Tuhan aku begitu menyayanginya, jaga dia, dan jaga hubungan kami, aku ingin terus bersamanya, suka maupun duka",sedih
"Itu kenapa gue gamau nyekokin temen2 gue yg non bl fans, karna pasti akan berbentuk respon yg beda. Kecuali, kalo dia emang suka bl. Kadang heran org masih aja nyekokin bl ke org yg non bl fans cuman karna ""dia cakep lo pasti suka"" bkn soal itu bambank.",terkejut
malu banget pastinya,jijik
"Yaudah posisinya gini mba, ibu nya mba jualan, yg lain makan, aku beli es teh, trus ada pengunjung baru mau makan, tapi tmpt penuh, posisinya pengunjung lain makan gk mungkin diusir, aku yg modal goceng mesan esteh+wifi duduk lama, kan sama-sama bayar? Kesal gk?",marah
ntar kalo deketin cewe aku gugup,takut
[Aww malu bgt],takut
muak saya tuh sama kelakuan tikto,jijik
Beban bgt soalnya dia lagi ngmc udh gtu yaaa kesel liat ekspresi nya grup nya si mbak pacar kaya seakan so jijik/gmna gtu yaampun sopan dikit dong yaa harusnya itu kan senior nya setidaknya klo ga suka tuh ya toh akting dikit dpn kamera/publik. Sebel bgttt,terkejut
Parah manusianya mushola tempat ibadah kok di hancurin...tiada tuhan selain allooh swt nabi muhammad utusan allooh swt....pencipta alam semesta akan murka klo manusianya begini terus...,marah
"paling benci film sejenis human centipede, final destination, dkk bikin mual",marah
"Abis itu langsung dah playing victim, muak gue. Kali ini Lo bisa pantau sendiri lah ya",jijik
"Nampak doktor happy-happy je dengan geng tabligh, tapi netizen jugak yg buat teruk, benci mengalahkan doktor. Sudahlah tak menyembuhkan tapi menyakitkan hati ada la. Muhasabah la diri anda untuk tidak menjadi musibat.",marah
pernah nonton film sii PITUNG .. yang seperti di ini di sebut apa ayooo ? sama pribumi benci.. sama LONDO dan Chino hormat dan takut nya kayak centeng...,marah
"gugup? Gw mah ga tukads,, santai trus broo!",senang
san punya terkejut sbb pintu dekat game outlast 2 sampai tertanggal dia punya green screen belakang sbb lari,terkejut
Mau sebagus apapun kalo ada hewan2 kek gitu juga ngeri lah nder,takut
baru ini ada yg manggil mas febrian jadi malu,takut
"Oiya, kerudung itu trus dipkainya buat ke mushola. Sedih deh, ingetnya. Kata nenek, ada orng di pengajian nanyain belinya di mana. Nenek dngn bangga bilang, ""dri cucu saya Tita."" Huhuhu melting gk si sama nenek gw yg sngat manis.",sedih
Tidak mau tertipu sendiriaaaan wkwkwkwkwkw,jijik
"Sama enggak pernah marah juga. Cuma heran aja masih aja yg masalahin dan bicarain umur pake nyinyir orang2 tuh lebih2 klu blm nikah, bnr2 pd norak dah",marah
"sayang semua especially logistik, banyak suka duka sesama.",sedih
Udah muak denger mama muda,terkejut
Daun-daun kering berserakan di pelataran hatiku. Menjadi ruang tuna asmara sebagai rumah duka sepeninggalmu yang menghilang tanpa tanda..,senang
suram muram sedih durjana angkara murka sepi sendiri aku benci kenapa tidak enyah saja kau pekat seperti berjelaga jika ku sendiri,sedih
Aku penat ye throwback dengan eah apa yang kitaorang pernah buat HAHAHAHA MACAM TAKDE OTAK,jijik
"Min, boleh bawa gitar yg ada softcase nya gak kedalam pesawat? Soalnya takut dibanting kalau masuk bagasi. Tks",takut
"Kecewa, terlalu sayang, terlalu berharap, tercintan pstu tak dapat.. AHAHAHAHAHAHA",sedih
Ngeri,takut
Benaaaaar. Gils. Tapi kali ini rm suga jin.. Aku terpesona dengan tarian mereka,terkejut
"Aaahh syukur deh ikut seneng aku, sehat terus ya jisungie",jijik
"btw, emang paling jelek nick dari lu koh. . . ngeri amat ajab",takut
"ANJIR MAU POUCHNYA, JAN SAMPE GUA MURKA",marah
Penat tengok marketing produk keluaran muslim yg suka scam org mcm ni,jijik
justru aku bangga terus pamer ke temen2 yg suka 1d kalo di mvnya ada bap,senang
"""Ayo."" Kedua tungkainya mulai berjalan perlahan memimpin lebih dahulu, namun tetap menyamaratakan posisinya dengan Mikael yang berjalan disampingnya. ""Kalau saya boleh tau, tadi di kantor polisi ngurusin apa?"" tukaknya berhati-hati, takut merasa tersinggung.",takut
Caper sana sini bikin muak,jijik
"Paling jijik sm org yg spam chat apalagi spam stiker, minta dibanting kaliya hpnya",jijik
"Harusnya sedih tp kalo youn yg ngomong jd ngakak ""ya gimana seok, namanya umur gak ada yang tau""",sedih
lelaki akn menangis bila dia betul2 penat dan menyerah kalah untuk yg tersayang untuk bahagia walau bukan bersama dia.,sedih
Terciduk terus uninstall baii . Sekali aku terkejut hahahaha,terkejut
"Nice dream by, risih ngga aku panggil by wkwkkw Sekalian curhat ah mumpung orangnya udah tidur, gaakan stalk juga dia. I Miss you, i want you, apa lagi ya.? Aku pengen main TOD lagi sama kamu, atau nonton film lagi, tapi lebih pengen main TOT Good night sweet heart Your earth",sedih
AKU NIH PENAKUT N BATUK DAH AH PENAT AH KLU NK MATI MATI CPT NNT KENA HADAP BENDA SMUA KENA BELAJAQ BALIK KENA BUAT ASSIGNMENT KENA PRESENT DEPAN UGH AKU PLING BENCI INTERACTIONS NGN ORG CKAP DPN ORG BENCI GILA TAU PENAT LA HIDUP XLEH BUAT BENDA AKU NAK UGH,marah
"Ngaku2 temennya wong cilik buat meraup suara. Giliran udah berkuasa, wong cilik diperes abis abisan. Masih belum puas juga ngejarah aset bangsa Dasar PDIP",senang
"Nctzen, segala sofa aja bisa bikin ambyar, deg degan, berharap, takut berharap, tapi pingin berharap, harap harap cemas, cemas cemas harap, asdghjkl :""""))",terkejut
"Ak murka shaiank, bukan marah lagi . Kalo ada yg apa apain Kao aduin sini ke ak wokke",marah
"Terima kasih kembali Kak Zahra, mohon menunggu ya kak, admin senang bisa membantu. -Daus",senang
"Udah muak, heran ya dilarang salah dibolehin salah",jijik
Aku masih sedih. Aku masih marah. Aku masih kecewa. Aku masih ingin berteriak. Tapi aku tak dendam. Tapi aku tak benci. Tapi apa pedulimu?,sedih
gugup iya sih pokoknya tau sikon gas,takut
Srimulat ala Rejim.... Muak NJING!!,marah
apa tuh yg bikin senang,senang
"Sy telpon pelamar juga sering di reject lalu mrk WA ""sapa?"" Gitu doank. Kalaupun mereka angkat, ga jarang jg yg angkat suaminya, pakdenya, tetangganya, pak Lurahnya, menteri pertahanan negara tempat tinggalnya. Sy jd heran, butuh kerjaan ini apa gak gt loh, belagu amat laganya",terkejut
"Alhamdulillah bunda Seandainya aq deket sm bunda mungkin kita bisa berbagi Suka maupun duka,,",senang
Sakit dikecewakan and penat berkorban,sedih
Enjoy itu bisa mengucap syukur,senang
"Masih agak cemas sih. Semoga gpp. BTW, kyknya yg satu lg gak jadi ikut",takut
benci bgt captionmu kek crush ku,marah
"3 bulan terlewati dengan cepat mereka bisa melewati semua suka duka yang ada bersama akan tetapi tiba-tiba saja X1 menghilang entah kemana,",sedih
"Ketemu dalam mimpi aja gugup, konon kenyataannya",takut
aku mau beli malu bawanya tau mbak,takut
Tersinggung awak yg gabisa apa2 ni,sedih
&amp; aku yang terkejut bukak pintu bilik gelap je kat luar tetiba ada kepala lelaki rupanya ayah sorok,terkejut
semut. ada yg sama ga sih masa gue dibilang aneh takut sana semut,senang
"Tentu kebijakan pemerintah akan menimbulkan pro kontra tpi 1 hal yg selalu gue pegang negara tdk akan pernah membiarkan rakyatnya sengsara, dan ketika ditengah2 musibah global seperti ini ada orang yg mncoba adudomba maka gue sangat berharap mereka mampus dimakan corona",marah
Aku terpesona dgn rencana tuhan yg bg2 sempurna mengatur segala hal . Dan aku mulai mengerti bahwa kesabaran adalah kunci utama .,senang
Heran bgt udah tau hiliday tapi pasang alarm faedahnya itu apa,terkejut
"Mrk emang bangsa yg jorok, jijik lihat nya",jijik
Muka orang ini paling gue benci di dunia ini,marah
"jangan rasa hina, org yg menghina tu lagi jijik dari kita yg dihina. Proof to that bitch",jijik
Jejak digital memang ngeri ngeri sedap,takut
"itumiiii tawwa. pokoknya grgr ituji satu thread na lgsg ter up jg list2 yg lama. jd pro kontra mi jg, ada tim yg block report attack fs, ada jg yg bela fs krn ndada buktinya tawwa blg sasange ki untung aq tim nongton kericuhan ji. apapoe murka tongmi fs2ka",marah
Jangan jadi provokator lagi Rom...sudah kl BENCI dgn ISLAM benci saja..jgn sulut Bara lg,marah
Semoga ada jalan yg bikin batin bunda puas ya,senang
"Dulu kalau lg pelajaran pendiem jarang aktif sampai selalu disindiri sama guru bahasa inggris jaman SMA, dikatain macem2 wkwk benci bats",marah
"KECEWA dan GAGAL adalah hal yg wajar terjadi, BANGKIT KEMBALI adalah REAKSI terbaik menyikapinya.",marah
saya rasa bekas bf awak ni ada masalah mental dan perlu diberi bantuan dengan cara membuat laporan polis dan sabitkan dia dengan kes jenayah seksual dan penculikan and at the end dia akan sengsara seumur hidup dia,marah
takut murka Allah,takut
Takut liat senyum mu hahahah,takut
kenot do wit anyone else okie penat aku hafal haritu ko taknak buat pun setan betul penat je keluar fak of,marah
"karena aku ngikutin dari awal pengumuman castnya, ekspetasiku jd tinggi banget. pas lihat ep 1 aku kaya rada kecewa gitu, kyk ga sesuai ekspetasi. tp aku langsung keinget oh iya ini kan romcom jd wajar"" aja sih. trs ya ttp aku tonton soalnya emg alasanku nonton krn bin sama yejin",sedih
"Filem ini memberi range emosi yang besar, daripada gembira, sedih, kecewa; penonton akan merasa semua ini bersama-sama filem ini.",sedih
"Jgnlah pake kt2 tolol...itu kasar. Cobalah utk beradab dg bahas yg bener &amp; halus... kita nasihatin spt ini aja: Heh! dongok lu!! Sapa yg nikmatin hutang? Gara2 utang rakyat sengsara. Dasar bego, kutu kupret, cebong banci, brudu pingky, kodok buntung lu...!!!",marah
ahaha bikin kesal saja ya unnie,marah
"Kalau dah penat tgok citer berat2, tngok The Good Place. Sumpah best!",senang
"Hahaha mungkin karena udh lama ngga ketemu, eh sekali ketemu Sohyunnya lagi cantik bgtt. Mana ngga gugup cobaa",senang
udah gue jamin gausah takut. gaada yg mau kecuali lo masih bawa kas smilemo di tas,takut
"Mulai risih ama rambut sendiri, suka masuk2 kuping. kenapa gak masuk tentara aja sih",marah
"Jam segini gabisa tidur lagi, pengen buka shopee ngeri belanja halu, trus buka facebook dannnn menemukan ini",terkejut
kalo mereka murka gimana bri,takut
Saha nu budak teu suka Jeung aelyn? Sahaaaa?? Kadieeeeeee siaaa.. aing teh murka !!!,marah
Ade2 je geli tulah Lain Kali jangan ikut bandwagon hate orang lain nak benci kpop kau pun nak ikut.. kalau suka layan jelah takde sapa2 pun halang...,marah
Dan warga ngeri kalo sepill sampe ujung akar yang ada dalam inti bumi.,takut
Ya ngeri lah nder tolong,takut
eh kok... wkwk aku benci dengan pikiran ku,jijik
Gugup tak bergerak,takut
Jan sampe pak sungkana murka,takut
"Krn ulama yg terpikat duniawi, krn orang2 pintar yg silau kekuasaan, maka sengsara seluruh rakyat",sedih
"jujur, ngerasa benci diri sendiri kalau jadi medioker gini. kemana ilangnya jiwa-jiwa ambis yg selalu berpedoman, ""coba aja dulu, ntar baru tau gimana hasilnya""?",marah
Bangga ga ? wkkwkw,senang
"Cukup terkesima dengan banyaknya pakaian formal yang di bawa oleh Luna. ""Pantas saja sampai 3 koper ya."" Keduanya melanjuti perjalanan, sudah biasa Luna melakukan kontak fisik, Kenn tidak keberatan, ia pun senang. Saat bersama temannya satu ini, segala hal terasa cepat. -",senang
Terkejut gak aku kalau nenek dia tiba pakai seluar pendek jugak,terkejut
manusia aja risih dinfus apa lagi kucing ya huhuhuhu,senang
Dunia sedang dirundung duka akibat wabah covid19. Tapi disini masih menanggapinya dengan lelucon dari pemeran yg sama.,sedih
"WAKAKAKAK, aku merasa diriku aneh. Karena aku suka tiba-tiba ngakak kek orang gila. Serem gak kamu? Aseli aku serem. Takut besok masuk rumah sakit.",senang
"DOMENPASAR,BALI Aku Mau Airpods pink Happy birthday buat kamu ,semoga apa yang di inginkan tercapai dan makin lancar rezekinya , and be happy pastinya be loyal army beb aku juga bangga banget sama bangtan apalagi bang Taehyung love banget , BORAHAEEE ,I PURPLE YOUU",senang
SUDAH DAN KESAL DENGAN SEUNGYOUN!,marah
it's just too painful rasa sengsara mau telan sebiji,sedih
"Mungkin dia tersinggung Krn ga ada yg mau, maklum ga cantik",senang
Muak ngeliatnya....,jijik
"Udah baca kasus ini. Mirip banget ceritanya dengan film Korea, My Baby Jaya. Yang menjual juga teman-temannya sendiri yang suka membully (sesama anak SMA). Lihat di film itu aja udah ngeri aku, apalagi ini nyata",sedih
"Sering kali merasa gagal sebagai anak, ketika engkau butuh bantuan dan aku hanya bisa mendengar ceritamu tanpa bisa bantu sesuatu yg lebih, egoku terkadang masih terlalu besar, semoga aku selalu memiliki rasa sabar dan syukur seperti ketika orang tuaku sabar merawatku.",sedih
Ya di terapin aja banyakan teori Luh... Bilang aja lu alergi dan anti sama syariat Islam benci sama hukum Allah,marah
Istigfar woe [[mrasa kesal]],marah
Dari suka aku belajar menghargai hidup dan dari duka aku belajar mencintai hidup. Terimakasih Tuhan. 25,senang
memang selalu membuat orang terpesona jd nga sabar kan gue,senang
"Dari kehidupan pesohor luar negeri sampai sesiapunpun di antah berantah, bisa disaksikan rutinitas kegiatan hidupnya. Baru saja yg kmrn berita duka menyebar dari belahan dunia sana. Bukan penggemar, ga tau2 amat, seper-scroll-an lihat IGnya jd tau blio slalu celebrate life n",terkejut
"Menang syukur, imbang rapopo, kalah biasa.. dua klub itu mengajarkan filosofi Narimo ing pandum. Wong jowo kabeh dukung rong kleb kui kudune",senang
Mna adgan wik wikny [aww krg puas],senang
Huhu padahal takut yg di jb in risih gitu :') aku ada dimana mana gegara jbjb mulu wkwk,takut
Malu malu,takut
Gue heran. Yg kek gini masih bnyak yg dukung maksudnya apa coba. Suka ngeyel.,terkejut
Saya benci saat-saat sudah berhasil move on tapi tiba-tiba kenangan kembali lagi muncul karena mendengar lagu kita.,sedih
"aku terkejut liat minhyuk ngerangkul jh ternyata dah kenal lama my babies huuuuu, makasih ka infonyaaa",terkejut
"Maaf kalau aku lancang atau aku terlalu peka, aku pernah dengar ko telp pas kita mau pergi ke acara nikahan di kos ko, aku gakk tau ko telp siapa tapi ko bilang ko udah mulai kesal samaku dan semua yang buat ko gakk nyaman lagi",sedih
GUE MAU IKUT MIKSERAN TP LG DI LUAR MURKA BNGET.,marah
"Al-Qur'an itu indah , apalagi kalau dibaca dan dihafalkan, membuat hati senang dikala sedang sedih",senang
Set gcam nya default bang. Cuma matiin motion+pake grid. Risih pake motion mode. Hehe,senang
Hai hai sama cowok . Ngeri takut ditusuk,takut
Ibuk kalo udah bakat maling susah ya buk. Nikin sengsara orang ini sih.,marah
"bukan mksd gue kesannya gila hormat, tp tetep aja ga enak. beberapa orang juga risih kl tbtb direply gt :"")",marah
"Diawali kata ""kecewa""",sedih
"edan ngeri kuatka nepi goceng kitu, apakah se worth it itu ?",takut
"Ngeri uy, master mah prediksi nya mantap.",takut
Ah yg kayak gitu aku jg risih kak. Karena kalau kita ga ikut pasti kita yang jadi bahan pembicaraan mereka,takut
lu cek dah ke rumah sakit lu emosian mulu ngeri gua,takut
Tbtb ada rasa takut yg ngga mendasar :') Rasa takut yg belom terbukti (: Rasa takut yg kutakutkan,takut
Terkejut bukak bukak nak penuh screen,terkejut
"Sumpah if aku dapat , aku menangis teruk, sujud syukur kt finishing line tu Silap-silap sempat lagi nak solat Subuh dekat lepas habis lari hehe May my dream comes to reality. Amin Ya Rabb.",senang
Aku bukan penggemar berat tapi KESAL AJIG EMANG BANYAK ORG TOLOL,marah
"Lain muak, tapi kesel teu menang wae jatah untung geus apal tibaheula. Jadi teu cekcok jiga ayeuna haha",senang
"Maaf ya kak udah bikin kamu cemas, pastiin kamu tetep pantau terus masa garansi biar pesanan pesanan kamu tetep aman. Mimin bantu cek ya, yuk DM mimin nomor pesanan ama username kamu ya. Mimin tunggu ^IT",senang
"Tapinya sedih aja Nah dari sini kemudian gue paham, salah satunya kenapa mamak tiri jadi jahat, ya karena perasaan ini.. bisa jadi para mamak tiri ini jd lebih jahat krn iri dan kecewa ga diperlakukan beda semoga gue ga jd seperti itu..doain ya gaes",sedih
Tertipu mengira bahwa kamu baik kepadaku.,takut
hahaha tapi pt3 senang,senang
Aku berdiri kat Sebelah kereta2 yang parking tu takkan nak jerit oi Nae! Nanti terkejut pulak bapak kau ahhaha,terkejut
"Memalam oramg send vid potong kepala orang, ngeri sia",takut
"Engga semuaa mbak , ada yg makin mirip kntl kalo make kacamata jijik liatnya wkwk",jijik
Aku ga suka kucing (bukan benci). Iya tepatnya takut ya,takut
"Apa an yang bisa bikin bahagia, gak ada semua hanya tipuan, dan aku adalah seorang yang sering tertipu, semua nya bangsat",terkejut
"wajah di depannya yang terlihat sedikit pucat. Mungkin karena gugup. Kepalanya bekerja keras memproses segalanya. Bagaimana Jethro menyebutkan namanya, bagaimana sang wira memintanya untuk menjadi hak milik.",sedih
Terkejut bukak gallery ada boomerang geng AminahFT ni hahahaha,terkejut
"FKG : duka nya banyak, suka nya juga banyak kok wkwk, beli alat yang hm bgtu la masuk fkg berasa jadi tukang, apalagi skills lab dah ancur jaslab dan jilbab. Tapi seru jujurrrrr",senang
aku senang kembali menemukan tawa dari orang-orang yang sudah ku kenal di 19 tahun kehidupanku pdahal aku masih masih berumur 23 saat ini. lama bukan ? hehe,senang
"Padahal cuma isi yg 1,5 gb 20rb, heran aku kenapa dapet 82 gb. Makasih xl",terkejut
"Benci banget gua jaehyun selalu dpt peran brengsek gini tp gapapa. Aku suka. Kalau berkenan, tag ke ya, nder terima kasih! Semangat nulisnya",marah
Ini masalah perkaranya apa sih?? Heran rakyat jdi primitif gini??,terkejut
syukur dapat mintuha kytu. aku semalam dapat yg pemamaian + julid.,senang
"Hanya ada dua pilihan dalam cinta, bahagia atau kecewa. Dan siapapun yang bermain dengan cinta, harus siap merasakan keduanya.",sedih
"Huhuhu i thought spotify tak ada benda ni, sokay lepas ni telinga i dh tak sengsara dh",sedih
ck aku murka,marah
Aku kan takok apakah kalian juga benci akuh ?,marah
Suka : pulang jam berapa pun mau lewat tengah malem atau sampe subuh gaada yg marahin Duka : apa-apa kudu sendiri,sedih
Aku minta maaf kat jiran2 aku kalau terkejut dengar aku gelak sebab tengok video bodo ni,sedih
Seenggaknya masih ada yang biasin lo. Lah gua? Ada yang kenal aja syukur (:,sedih
Makasih loh ya [aww merasa malu],senang
"Semua orang penat. Aku pun. Kau tau aku penat nak hadap benda ni. Malam-malam, dalam gelap, aku sedih. Ingat tentang apa kita bualkan. Apa yg pernah kita cerita. Tapi... Tak apalah. Aku taknak kau rasa apa aku rasa.",sedih
Karena takut dan ga mudheng,takut
pengen sih tapi takutnya dia risih,takut
Bahagialah kau di atas sengsara aku. Aku rela.,sedih
yaela yg benci ama gue mah bukan sebagian. udh semuanya kali wkwk,marah
Mangatss jgn lupa selalu berdoa biar ga gugup^^,senang
"Iyaaa se moa nation itu khawatir trus mencoba berpositive thinking like ""beomie nggak papa kok, tenang pls tenang"" padahal udah cemas bgt nih emang txt are our babies",takut
aww bunyinya ngikngukngiiik [mrsa terkejut],terkejut
Heran/dengki wkwkwkwk,terkejut
Risih,jijik
BDO aku tertipu,jijik
"Dengan setia, cinta akan terasa bahagia. Dengan kejujuran, cinta akan mencapai kesempurnaan",senang
AKU TERKEJUT. Dasar anak nakal,terkejut
"Achievement sepanjang setahun aku kerja dengan wawacosmetics, aku dah capai sales 5juta! Haaaa power en. Tapi tapi tapi. Tu semua ada. Seronok, sakit, sedih, marah, xcukup tidoq, sakit badan badan tu xhilang lagi sampai nak resign. Penat woo. Kalau laa semua tu aku dapat. Kayoooo",sedih
hey aku kesal sekali melihat ava twitt qm,marah
Jijik syiallllll,jijik
"Kita heran ketika yg ada masalah dan dirugikan umat islam, mereka se akan diam tanpa kata ,tapi kalao sebaliknya waaaw 1 bulan ga habis2 episodenya di media, ingatlah akan penghakiman Allah kelak di Akhirat",terkejut
"Udah terlalu sering ketawa, padahal dalam hati menyimpan duka yg dalam",sedih
"Walaupun anaqiy tgh tidur dan laki aku kat kedai, aku tetap call and jerit2 sebab lipas. Pastu aku ckp kt husband ""lipas dh takde. Tak tau pegi mana"" dengan nada cemas. Husband aku plak dengan tenang cakap ""nanti sy balik kita cari"" Wtf!",takut
Syukur banget,senang
ngeri nder,takut
haha issac bikin murka bakal deh kayanya soalnya itu masi gantung bgt,marah
"Pengin njawab sesuatu, tpi kamu pasti jijik, ya udah gak jadi replay",sedih
"minder + bangga la wkwkw Tapi dominan bangga si, gils jarang2 punya cowo ip 4",takut
iyasi agak ngeri ngeri tp lucu bgt anjir,takut
Hahaha jadi pengen ikutan sambat pagi-pagi Tapi ngeri kalo senior udh sambat tuh wkwkwkw,takut
Sudut pandang yg sempurna emng selalu bikin terpesona,terkejut
"Ngeri banget, telat haid sampe 9 bulan",takut
"Kayaknya pingsan yu, sebelum pingsan gugup bgt mesti tak kasih tau yuu ibuku ngefans sama jin katanya ko ganteng bgt sih ra. Pas aku bawa poster nya jin ibuku minta masa",takut
akuu tertipu aku terjebak aku terperangkap penipu ituuu,jijik
Penat babi ah tunggu,jijik
22. Sebel sama rp yang mau temenan tapi liat liat followers. Aku benci rp fakboi dan juga pelakor bawaannya pengen jambak ginjalnya,marah
Memiliki paras dingin bukan berarti tak memiliki rasa gugup sedikit pun. Meski terbiasa menghadapi bahkan menghabisi orang dewasa sekali pun tak membuat sang puan lantas tidak memiliki kekhawatiran terhadap sesuatu. Tapi mengapa?,takut
Jangan nuduh gt dong ntar aku murka,marah
"Bener juga, namanya temen kan hrs ada di saat suka dan duka Kan persahabatan bagai kepompong",senang
"Kalau social media heboh pasal AIDS dan STD dan tanam ketakutan kematian dan murka pencipta, mungkin org tk sokong pengamal LGBT. Pftt",marah
Gue dibeda2in gini tu ternyata ibuku juga ngeh. Ibu juga sedih.,sedih
Sy bangga g pilih pa de ! ! !!!!,senang
Tetep benci. Caper mulu ke the boys,marah
Aku baca tambah suami rupanya sumi. Terkejut mak,terkejut
Nah sering bgt ni nemu temen kayak gini dikira kita gak tersinggung apa.. hargai aja udah tanpa ganggu atau nyindir. Padahal kita gak rugiin dia juga perasaan,marah
Tapi buat orang kesal,marah
WKWKWKWKKW KESAL SAYA,marah
"Inget nder dosa sesama manusia Tuhan gk ikut campur hati"" yaa takutnya Tuhan murka aibmu dibuka depan umum juga ehehe",marah
yah kecewa penonton,sedih
Ga tau ih kesal aku sama mereka,marah
Gua sbg nctzen sma atiny baca tweet ini auto malu gua sma kelakuan lu astagfirullah,jijik
"Jelas jelas KPK itu : menghambat langkah mereka ! mengancam nasib mereka ! Menggangu kesenangan mereka ! Membuat mereka cemas !Sebenarnya, mereka mau bilang,""Dasar, KPK pengganggu !"" daan, power itu ada di tangan mereka sekarang, jadilah barang itu !...",marah
Baru tdi jam 10 mandi ga juga mau tidur cepet mata tu kyk seger banget jm segini heran,terkejut
"Iya kak, karena aku kesal",marah
Mesem2 sendiri anjir malu gw liat muka sendiri,jijik
Ada yang punya site plannya? Penasaran mau buat apa disitu. Syukur sempat ke sana sebelum di revitalisasi,senang
"Kdg kesal sih sama sudut pandang sendiri .. Sering banget mereka ngomong ""trivia diam aja ngomong lah"" Akutu enggk tw aku mw ngomong apa .. Enggk ngerti hal di RL Hubungan si anu drngan di dia juga gw bomat .. Lbh seneng dunia sendiri .. Iya gw salah kok",marah
"Tadi baca-baca lagi chat (curhatan) temen yang emg punya masalah yang berat bagi aing, jadi pengen bisa bantu. Tapi disatu sisi aing benci doi.",sedih
"Ga terasa waktu sudah berlalu, suka dan duka udah gua lalui di kota Depok. Hanya ingin merasakan nostalgia",sedih
"emg kecewa cuma bole ke pacar? :"")",sedih
Aku merasa tersinggung jadinya nih. Jaman smk tiap pulang hbs ujian sok belajar bareng sm doi di mekdi smpe ber jam jam,marah
"Blm pernah ak OTP sama stranger, pada risih kali ya aku ajakin OTP wkwkwk Tp bener sih ngga semua stranger open minded for a nice OTP, mungkin liat mukaku aja udh pada curiga juga",takut
sape tak terkejut bodo ceni mau keluar semua jenis doa hahahahaha,terkejut
Sama heran bgt aku tuh,terkejut
"Tapi orang orang sholat disitu kan? Adzan juga disitu kan? Yaa itu sama aka masjid, meskipun d lapangan terbuka. Masjid bukan hanya berwujud bangunan yg ada kubah aja. Masjid itu tempat berkumpulnya umat muslim untuh ibadah yg Agung. Ente munafik ya? Malu sama nama bagus ente..",marah
Pengen nelpon mama trs nangis2 aja sampe puas,senang
Oknum yang kesal,marah
Sesi duka tangis dipersilahkan Binic tolong pelul aku Aku gakuat konten iKON ga ada hanbinnya Bukann Bukannya gamau dukung iKON yg sekarang Tp tp tp tp Ada lubang dihatiku Gabisa di tutup Bin aku kangen kamu bin,sedih
Bosen denganmu tapi muak dengannya:,jijik
AKU NIH PENAKUT N BATUK DAH AH PENAT AH KLU NK MATI MATI CPT NNT KENA HADAP BENDA SMUA KENA BELAJAQ BALIK KENA BUAT ASSIGNMENT KENA PRESENT DEPAN UGH AKU PLING BENCI INTERACTIONS NGN ORG CKAP DPN ORG BENCI GILA TAU PENAT LA HIDUP XLEH BUAT BENDA AKU NAK UGH,marah
"Kondisi begini aja masih pilih pilih lhoooo, heran jonson..",terkejut
"Gue ga tersinggung.. gue mah cuma komen kalimat lo yang nyuruh nitijen bijak bersosmed tapi orang yg lo bela ga bijak bersosmed. Makanya gue minta tolong sama lo, minta beliaunya juga bijak dalam bersosmed. Yudh gitu aja, biar impas sama-sama bijak kan enak, ya ga?",marah
"Dia udaa tau 3 lagu berarti, sarangeul heta, kill thiss love, sama tetetet tetetet nya zico. Ngeri jadi kpopers aja bis ini wkwkwk",takut
kenapa mesti jumpa tweet ni waktu malam siaaku terkejut buka gambar last tu. aku takut weh,terkejut
kasar bgt heran,terkejut
"Mau tanya benar tidak gas tabung isi 12kg harganya sekarang jadi Rp. 180.000,- ? Makin sengsara banget ya jadi rakyat",sedih
Dia juga membuat aku bangga sebagai pacarnya.,senang
"hua bener aku duka yg buat penonton ikut mikir gt, ada teka teki. misal thriller, horror, mystery",takut
"/jbrfess/ Rek barusan aku mau tidur ada yang megang aku, padahal aku masih sadar, pas aku lihat gak ada orang nder. Ngeri ga sih",takut
